title,description,type,level
Festival dan Lomba Seni Siswa Nasional (FLS2N) Tari,Festival seni nasional cabang tari kreasi untuk siswa SMA,competition,Nasional
Lomba Desain Poster Nasional,Kompetisi desain poster kreatif nasional untuk siswa SMA,competition,Nasional
Lomba Melukis Nasional,Kompetisi melukis tingkat nasional untuk siswa SMP,competition,Nasional
Lomba Kaligrafi Nasional,Kompetisi kaligrafi nasional untuk siswa SMP dan SMA,competition,Nasional
Lomba Baca Puisi Nasional,Kompetisi baca puisi nasional untuk siswa SMP dan SMA,competition,Nasional
Lomba Musikalisasi Puisi Nasional,Kompetisi musikalisasi puisi nasional untuk siswa SMA,competition,Nasional
Lomba Fotografi Pelajar Nasional,Kompetisi fotografi pelajar tingkat nasional untuk siswa SMA,competition,Nasional
Lomba Film Pendek Dokumenter,Kompetisi film pendek dokumenter nasional untuk siswa SMA,competition,Nasional
Lomba Desain Batik Pelajar,Kompetisi desain motif batik modern nasional untuk siswa SMA,competition,Nasional
Lomba Karikatur Sosial,Kompetisi karikatur bertema sosial nasional untuk siswa SMA,competition,Nasional
Lomba Cipta Lagu Pelajar,Kompetisi penciptaan lagu nasional untuk siswa SMA,competition,Nasional
Lomba Monolog Teater Pelajar,Kompetisi monolog teater nasional untuk siswa SMA,competition,Nasional
Olimpiade Olahraga Siswa Nasional (O2SN) Renang,Kompetisi renang nasional untuk siswa SMP dan SMA dalam berbagai nomor gaya,competition,Nasional
Olimpiade Olahraga Siswa Nasional (O2SN) Bulutangkis,Kompetisi bulutangkis nasional untuk siswa SMP dan SMA,competition,Nasional
Olimpiade Olahraga Siswa Nasional (O2SN) Karate,Kompetisi karate nasional untuk siswa SMP dan SMA,competition,Nasional
Olimpiade Olahraga Siswa Nasional (O2SN) Atletik,Kompetisi atletik nasional untuk siswa SMP dan SMA,competition,Nasional
Olimpiade Olahraga Siswa Nasional (O2SN) Pencak Silat,Kompetisi pencak silat nasional untuk siswa SMP dan SMA,competition,Nasional
Lomba Karya Tulis Ilmiah (LKTI) Nasional,Kompetisi karya tulis ilmiah nasional untuk siswa SMA dalam berbagai bidang sains,competition,Nasional
Lomba Esai Lingkungan Hidup,Kompetisi penulisan esai bertema lingkungan hidup dan keberlanjutan untuk siswa SMA,competition,Nasional
Lomba Penulisan Cerpen Pelajar,Kompetisi penulisan cerpen nasional untuk siswa SMP dan SMA,competition,Nasional
Lomba Menulis Artikel Opini,Kompetisi penulisan artikel opini media massa nasional untuk siswa SMA,competition,Nasional
